id,ad_id,name,category,impressions,clicks,click_rate,,,,,name_id,name,,category_id,category
380778,256266,illycaffè,Media,456,0,0,,,,,1,Heaven Hill Distilleries,,1,Auto
975938,806127,HBO_,Online,143,43,0.300699301,,,,,2,Online Marketing Group - Ad,,2,Books
254001,552095,LA Metro Constuction,Media,200,1,0.005,,,,,3,Hewlett-Packard Company,,3,Television
720132,833247,LA Metro Constuction,Media,274,19,0.069343066,,,,,4,American Express,,4,Sports
622546,666689,American Express,Books,409,45,0.11002445,,,,,5,illycaffè,,5,Online
588373,659764,HBO_,Books,810,25,0.030864198,,,,,6,LA Metro Constuction,,6,Stores
326174,372013,American Express,University,568,9,0.01584507,,,,,7,Wendy's Restuarant,,7,Dealership
874284,163928,Wendy's Restuarant,University,693,49,0.070707071,,,,,8,HBO_,,8,Media
720287,471139,Heaven Hill Distilleries,Stores,678,4,0.005899705,,,,,9,Ebro Foods,,9,Children
342465,750803,LA Metro Constuction,Online,947,46,0.048574446,,,,,10,MSNBC,,10,University
580110,325913,Online Marketing Group - Ad,Stores,400,22,0.055,,,,,,,,,
890560,785513,LA Metro Constuction,Online,822,19,0.023114355,,,,,,,,,
992527,403597,Heaven Hill Distilleries,Auto,632,7,0.011075949,,,,,,,,,
788890,753916,HBO_,Sports,88,2,0.022727273,,,,,,,,,
979692,741900,Hewlett-Packard Company,Auto,827,1,0.00120919,,,,,,,,,
665526,510934,Heaven Hill Distilleries,Sports,814,8,0.00982801,,,,,,,,,
82688,698898,Hewlett-Packard Company,Books,780,50,0.064102564,,,,,,,,,
680715,428706,LA Metro Constuction,Television,591,18,0.030456853,,,,,,,,,
945163,415448,LA Metro Constuction,University,968,21,0.021694215,,,,,,,,,
176681,214315,LA Metro Constuction,Sports,284,41,0.144366197,,,,,,,,,
270850,677689,Hewlett-Packard Company,University,50,42,0.84,,,,,,,,,
144888,210157,illycaffè,Television,408,27,0.066176471,,,,,,,,,
653719,280876,MSNBC,Books,731,24,0.032831737,,,,,,,,,
860194,40298,Online Marketing Group - Ad,Media,808,46,0.056930693,,,,,,,,,
304863,627616,LA Metro Constuction,Television,889,37,0.041619798,,,,,,,,,
342825,260472,Online Marketing Group - Ad,Books,3,30,10,,,,,,,,,
177124,592233,illycaffè,Media,37,32,0.864864865,,,,,,,,,
762218,500142,Online Marketing Group - Ad,Stores,86,3,0.034883721,,,,,,,,,
205360,973121,HBO_,Stores,155,34,0.219354839,,,,,,,,,
74356,660914,illycaffè,Dealership,326,42,0.128834356,,,,,,,,,
866136,601932,American Express,University,957,26,0.027168234,,,,,,,,,
978733,877672,HBO_,Books,494,40,0.08097166,,,,,,,,,
339862,714731,Hewlett-Packard Company,Children,264,27,0.102272727,,,,,,,,,
185730,123273,HBO_,Media,562,1,0.001779359,,,,,,,,,
624530,667429,Hewlett-Packard Company,University,72,39,0.541666667,,,,,,,,,
204654,613353,HBO_,Dealership,436,15,0.03440367,,,,,,,,,
575715,431586,illycaffè,Online,452,25,0.055309735,,,,,,,,,
949511,396330,LA Metro Constuction,Stores,683,18,0.026354319,,,,,,,,,
817407,457538,HBO_,Media,62,7,0.112903226,,,,,,,,,
749372,433965,American Express,Stores,513,38,0.074074074,,,,,,,,,
165504,514790,illycaffè,Television,115,48,0.417391304,,,,,,,,,
154583,626489,American Express,Television,921,22,0.023887079,,,,,,,,,
819333,157562,Online Marketing Group - Ad,Children,976,15,0.015368852,,,,,,,,,
790175,451166,Online Marketing Group - Ad,Sports,489,7,0.014314928,,,,,,,,,
905893,695392,MSNBC,University,237,25,0.105485232,,,,,,,,,
405470,723591,LA Metro Constuction,Media,645,35,0.054263566,,,,,,,,,
615945,352365,American Express,Books,124,23,0.185483871,,,,,,,,,
334208,509151,Heaven Hill Distilleries,Online,202,44,0.217821782,,,,,,,,,
58752,996482,Heaven Hill Distilleries,Online,619,27,0.04361874,,,,,,,,,
